,,,,,,,,, 
,"Calendario Attività
2023/24",,,,,,,,
,,,,,,,,,
,22 set,,,22 dic,,,22 mar,,
,23 set,,,23 dic,Torneo #4 Blitz 5',,23 mar,Torneo #7 Blitz 5',
,29 set,,,29 dic,,,29 mar,,
,30 set,,,30 dic,5° Turno Rapid 25',,30 mar,Corso di Scacchi,
,6 ott,,,5 gen,,,5 apr,,
,7 ott,"Torneo #1 Blitz 3'+2""",,6 gen,6° Turno Rapid 25',,6 apr,5° Turno Rapid 45',
,13 ott,,,12 gen,,,12 apr,,
,14 ott,1^Tappa Semilampo,,13 gen,7° Turno Rapid 25',,13 apr,,
,20 ott,,,19 gen,,,19 apr,,
,21 ott,2^Tappa Semilampo,,20 gen,,,20 apr,6° Turno Rapid 45',
,27 ott,,,26 gen,,,26 apr,,
,28 ott,,,27 gen,"Torneo #5 Blitz 3'+2""",,27 apr,Corso di Scacchi,
,3 nov,,,2 feb,,,3 mag,,
,4 nov,Corso di Scacchi,,3 feb,1° Turno Rapid 45',,4 mag,7° Turno Rapid 45',
,10 nov,,,9 feb,,,10 mag,,
,11 nov,1° Turno Rapid 25',,10 feb,Corso di Scacchi,,11 mag,,
,17 nov,,,16 feb,,,17 mag,,
,18 nov,2° Turno Rapid 25',,17 feb,2° Turno Rapid 45',,18 mag,Corso di Scacchi,
,24 nov,,,23 feb,,,24 mag,,
,25 nov,,,24 feb,,,25 mag,"Torneo #8 Blitz 3'+2""",
,1 dic,,,1 mar,,,31 mag,,
,2 dic,Corso di Scacchi,,2 mar,3° Turno Rapid 45',,1 giu,,
,8 dic,,,8 mar,,,7 giu,,
,9 dic,3° Turno Rapid 25',,9 mar,Corso di Scacchi,,8 giu,,
,15 dic,,,15 mar,,,14 giu,,
,16 dic,4° Turno Rapid 25',,16 mar,4° Turno Rapid 45',,15 giu,,
,,,,,,,,, 
