Data,Evento,Tipo,Titolo,Link
2024-09-20,,,,
2024-09-21,,,,
2024-09-27,,,,
2024-09-28,,,,
2024-10-04,,,,
2024-10-05,"Torneo Blitz 3'+2""",Torneo,"Torneo #251 - Blitz 3'+2""",https://docs.google.com/document/d/1UAk8DZXPQu0m3Hsvq1gpXJBHCkYttfQ0eaDAmQ-t3bc/edit?usp=drive_link
2024-10-11,,,,
2024-10-12,1^Tappa Semilampo,Torneo,Torneo #252 - Semilampo 15',https://docs.google.com/document/d/1ovQbMkLL0Y_mpnR-pc_8iPf8fGyhwfFVtfq-CU5GyUA/edit?usp=drive_link
2024-10-18,,,,
2024-10-19,2^Tappa Semilampo,,,
2024-10-25,,,,
2024-10-26,,,,
2024-11-01,,,,
2024-11-02,Corso di Scacchi,Lezione,,
2024-11-08,,,,
2024-11-09,1° Turno Rapid 25',Torneo,Torneo #253 - Rapid 25',https://docs.google.com/document/d/1JqHQ4xMNOply5jb6ukC0Wa2_RSdQfCQ-mphAqXl2MKA/edit?usp=drive_link
2024-11-15,,,,
2024-11-16,2° Turno Rapid 25',,,
2024-11-22,,,,
2024-11-23,,,,
2024-11-29,,,,
2024-11-30,Corso di Scacchi,Lezione,,
2024-12-06,,,,
2024-12-07,3° Turno Rapid 25',,,
2024-12-13,,,,
2024-12-14,4° Turno Rapid 25',,,
-,,,,
2024-12-20,,,,
2024-12-21,Torneo #4 Blitz 5',Torneo,Torneo #254 - Blitz 5',https://docs.google.com/document/d/11sI690tA4tMzMtvjyR9RQHaGIZJb7Ect-CwSY0bLI9s/edit?usp=drive_link
2024-12-27,,,,
2024-12-28,5° Turno Rapid 25',,,
2025-01-03,,,,
2025-01-04,6° Turno Rapid 25',,,
2025-01-10,,,,
2025-01-11,7° Turno Rapid 25',,,
2025-01-17,,,,
2025-01-18,,,,
2025-01-24,,,,
2025-01-25,"Torneo #5 Blitz 3'+2""",Torneo,"Torneo #255 - Blitz 3'+2""",https://docs.google.com/document/d/1wglP_lMR6Z0fESbKSEbhhvz0xKcPDxykocVrhludtiY/edit?usp=drive_link
2025-01-31,,,,
2025-02-01,1° Turno Rapid 45',Torneo,Torneo #256 - Rapid 45',https://docs.google.com/document/d/12ocJFDAF2szpGGgBWRVdhtYEBfi0yZyouK14H0SsunE/edit?usp=drive_link
2025-02-07,,,,
2025-02-08,Corso di Scacchi,Lezione,,
2025-02-14,,,,
2025-02-15,2° Turno Rapid 45',,,
2025-02-21,,,,
2025-02-22,,,,
2025-02-28,,,,
2025-03-01,3° Turno Rapid 45',,,
2025-03-07,,,,
2025-03-08,Corso di Scacchi,Lezione,,
2025-03-14,,,,
2025-03-15,4° Turno Rapid 45',,,
-,,,,
2025-03-21,,,,
2025-03-22,Torneo #7 Blitz 5',Torneo,Torneo #257 - Blitz 5',https://docs.google.com/document/d/1ts7bpnxfgfOSqICBANgCCgtki0j6C8BwsrxyDnTW4fM/edit?usp=drive_link
2025-03-28,,,,
2025-03-29,Corso di Scacchi,,,
2025-04-04,,,,
2025-04-05,5° Turno Rapid 45',,,
2025-04-11,,,,
2025-04-12,,,,
2025-04-18,,,,
2025-04-19,6° Turno Rapid 45',,,
2025-04-25,,,,
2025-04-26,Corso di Scacchi,,,
2025-05-02,,,,
2025-05-03,7° Turno Rapid 45',,,
2025-05-09,,,,
2025-05-10,,,,
2025-05-16,,,,
2025-05-17,Corso di Scacchi,,,
2025-05-23,,,,
2025-05-24,"Torneo #8 Blitz 3'+2""",Torneo,"Torneo #258 - Blitz 3'+2""",https://docs.google.com/document/d/1ms7kHeemE3sxFg_K6oWfwHu9tjh_sSkpfTc_TATovFg/edit?usp=drive_link
2025-05-30,,,,
2025-05-31,,,,
2025-06-06,,,,
2025-06-07,,,,
2025-06-13,,,,
2025-06-14,,,,
-,,,,
