Camp. Promozionale 2018 - Torneo #2 - 24/06/2018
Lista giocatori
N;NAME;COUNTRY;BIRTHDAY;GENDER;TITLE;RATING;IDFIDE;ELOFIDE;KFIDE;IDNAT;ELONAT;KNAT;CLUB;INFO
  1; Bertuglia Michelangelo          ;ITA;    000000;m; C6;    0;        0;    0; 0;0;    0; 0;;
  2; Bianco Francesco                ;ITA;    000000;m; A1;    0;        0;    0; 0;0;    0; 0;;
  3; Bonagiuso Samuel                ;ITA;    000000;m; C8;    0;        0;    0; 0;0;    0; 0;;
  4; Bonagiuso Simone                ;ITA;    000000;m; C1;    0;        0;    0; 0;0;    0; 0;;
  5; Bonsignore Giuseppe             ;ITA;    000000;m; C1;    0;        0;    0; 0;0;    0; 0;;
  6; Etiopia Salvatore               ;ITA;    000000;m; C1;    0;        0;    0; 0;0;    0; 0;;
  7; Mangiaracina Andrea             ;ITA;    000000;m; E1;    0;        0;    0; 0;0;    0; 0;;
  8; Marino Gabriele                 ;ITA;    000000;m; A8;    0;        0;    0; 0;0;    0; 0;;
  9; Marino Martina                  ;ITA;    000000;f; B8;    0;        0;    0; 0;0;    0; 0;;
 10; Messina Antonino                ;ITA;    000000;m; C8;    0;        0;    0; 0;0;    0; 0;;
 11; Sanclemente Fabrizio            ;ITA;    000000;m; C1;    0;        0;    0; 0;0;    0; 0;;
 12; Scimemi Marco                   ;ITA;    000000;m; C8;    0;        0;    0; 0;0;    0; 0;;
 13; Signorello Andrea               ;ITA;    000000;m; C4;    0;        0;    0; 0;0;    0; 0;;
 14; Titone Giuseppe                 ;ITA;    000000;m; C8;    0;        0;    0; 0;0;    0; 0;;
